Order ID,Customer ID,Customer Email,Order Date,Region,Sales Channel,Customer Segment,Category,Product,Units,Unit Price ,Discount,Revenue,Cost,Returned
ORD-100978,CUST-10267,harper.nakamura266@example.com,2023-01-21,West,Retail Store,Consumer,Furniture,Standing Desk,2,537.43,15%,913.63,583.03,Yes
ORD-102586,CUST-10787,harper.vasquez786@example.com,2023-12-12,EAST,Retail Store,Small Business,Electronics,Smart Watch,4,253.92,10%,914.11,783.76,No
ORD-103551,CUST-10802,blair.adeyemi801@example.com,2024-06-24,South,Retail Store,Enterprise,Home & Kitchen,Espresso Machine,1,431.76,20%,345.41,263.38,No
ORD-102260,CUST-10757,rowan.sandoval756@example.com,2023-10-29,North,Retail Store,Enterprise,Furniture,Bookshelf,3,155.1,10%,418.77,264.68,No
ORD-101145,CUST-10368,indigo.takahashi367@example.com,2023-03-08,South,Wholesale,Consumer,Electronics,Smart Watch,4,247.44,20%,791.81,739.6,No
ORD-100009,CUST-10002,blair.adeyemi1@example.com,2022-07-02,West,Retail Store,Small Business,Home & Kitchen,Espresso Machine,3,449.77,5%,"$1,281.84",777.87,No
ORD-104516,CUST-10927,harper.gallagher926@example.com,2024-11-27,North,Online,Consumer,Home & Kitchen,Air Fryer,2,134.11,5%,254.81,167.89,No
ORD-104261,CUST-11387,harper.jensen1386@example.com,2024-10-24,South,Online,Enterprise,Furniture,Bookshelf,2,157.05,20%,251.28,173.71,Yes
ORD-102868,CUST-10803,casey.adeyemi802@example.com,"Feb 04, 2024",West,Retail Store,Consumer,Electronics,Smart Watch,1,254.35,5%,241.63,196.6,No
ORD-100430,CUST-10099,tatum.eriksen98@example.com,2022-10-15,East,Online,Small Business,Home & Kitchen,Chef Knife Set,3,90.32,0%,$270.96,152.59,No
ORD-101979,CUST-10575,peyton.iversen574@example.com,2023-09-03,South,Wholesale,Consumer,Electronics,Smart Watch,16,245.77,10%,3539.09,3104.43,No
ORD-103980,CUST-11286,frankie.eriksen1285@example.com,2024-09-04,North,Retail Store,Enterprise,Office Supplies,Premium Notebook Pack,11,24.32,0%,267.52,119.86,No
ORD-100808,CUST-10280,wren.nakamura279@example.com,2022-12-17,West,Online,Consumer,Home & Kitchen,Chef Knife Set,2,90.36,10%,162.65,109.46,No
ORD-102551,CUST-10511,linden.fontaine510@example.com,2023-12-07,South,Online,Consumer,Office Supplies,Desk Organizer,13,35.37,5%,436.82,203.42,No
ORD-104400,CUST-11442,blair.moreau1441@example.com,2024-11-14,West,Retail Store,Small Business,Electronics,4K Monitor,2,366.13,0%,732.26,597.31,No
ORD-101000,CUST-10351,linden.sandoval350@example.com,2023-01-27,West,Retail Store,Consumer,Office Supplies,Premium Notebook Pack,18,23.45,5%,400.99,188.82,No
ORD-102278,CUST-10582,blair.jensen581@example.com,2023-11-01,West,Online,Enterprise,Furniture,Bookshelf,1,157.57,0%,157.57,88.93,No
ORD-101515,CUST-10466,frankie.dubois465@example.com,2023-05-28,West,Online,Consumer,Office Supplies,Premium Notebook Pack,4,23.74,0%,94.96,42.33,No
ORD-104013,CUST-11337,rowan.gallagher1336@example.com,2024-09-11,North,Retail Store,Consumer,Home & Kitchen,Air Fryer,3,138.12,0%,414.36,268.49,No
ORD-103338,CUST-10883,casey.eriksen882@example.com,2024-05-12,West,Retail Store,Consumer,Electronics,Wireless Earbuds,4,137.29,5%,$521.70,396.85,No
ORD-100145,CUST-10017,rowan.adeyemi16@example.com,"Aug 06, 2022",West,Online,Consumer,Electronics,4K Monitor,2,380.75,5%,723.42,593.28,No
ORD-103717,CUST-11032,marlow.lindqvist1031@example.com,2024-07-19,West,Online,Consumer,Office Supplies,Premium Notebook Pack,19,25.63,0%,$486.97,194.84,No
ORD-102035,CUST-10665,ellis.nakamura664@example.com,2023-09-14,West,Online,Consumer,Electronics,Wireless Earbuds,1,128.35,0%,$128.35,102.27,No
ORD-101175,CUST-10330,kai.rossi329@example.com,2023-03-14,North,Online,Consumer,Home & Kitchen,Espresso Machine,4,449.52,5%,1708.18,1082.54,No
ORD-100466,CUST-10140,wren.gallagher139@example.com,2022-10-22,West,Wholesale,Consumer,Electronics,4K Monitor,10,397.9,10%,3581.10,3127.38,No
ORD-100682,CUST-10068,indigo.dubois67@example.com,"Nov 29, 2022",West,Online,Enterprise,Electronics,Wireless Earbuds,2,137.19,5%,260.66,202.38,No
ORD-102403,CUST-10679,tatum.nakamura678@example.com,2023-11-18,North,Wholesale,Consumer,Office Supplies,Premium Notebook Pack,64,23.79,0%,1522.56,688.14,No
ORD-100024,CUST-10006,frankie.adeyemi5@example.com,2022-07-05, West ,Retail Store,Consumer,Electronics,Laptop Pro 14,4,1331.2,10%,4792.32,3949.97,No
ORD-102423,CUST-10473,noor.dubois472@example.com,2023-11-20,West,Online,Consumer,Office Supplies,Gel Pen Set,10,12.25,0%,122.50,51.62,No
ORD-101910,CUST-10644,devon.moreau643@example.com,2023-08-18,East,Online,Enterprise,Office Supplies,Premium Notebook Pack,2,25.67,0%,51.34,20.87,No
ORD-100803,CUST-10218,sasha.kowalski217@example.com,"Dec 16, 2022",North,Wholesale,Consumer,Office Supplies,Gel Pen Set,10,12.2,0%,122.00,58.36,No
ORD-100622,CUST-10196,quinn.jensen195@example.com,2022-11-19,West,Retail Store,Consumer,Home & Kitchen,Espresso Machine,2,459.49,0%,918.98,553.26,No
ORD-103868,CUST-11259,tatum.castillo1258@example.com,2024-08-14,North,Retail Store,Consumer,Electronics,Wireless Earbuds,3,134.32,0%,402.96,300.67,No
ORD-104422,CUST-11310,kai.fontaine1309@example.com,2024-11-17,North,Online,Small Business,Electronics,Laptop Pro 14,1,1248.42,0%,1248.42,997.44,No
ORD-103505,CUST-11067,harper.nakamura1066@example.com,2024-06-14,West,Wholesale,Small Business,Electronics,Smart Watch,5,247.5,10%,1113.75,965.47,No
ORD-103949,CUST-11286,frankie.eriksen1285@example.com,"Aug 30, 2024",South,Retail Store,Consumer,Electronics,Laptop Pro 14,4,1291.0,10%,"$4,647.60",4056.36,No
ORD-103200,CUST-11023,casey.lindqvist1022@example.com,"Apr 13, 2024",West,Online,Consumer,Home & Kitchen,Air Fryer,2,138.81,15%,235.98,165.45,No
ORD-101117,CUST-10263,casey.nakamura262@example.com,2023-02-28,East,Wholesale,Consumer,Home & Kitchen,Chef Knife Set,21,94.11,0%,1976.31,1141.25,No
ORD-100200,CUST-10069,jules.dubois68@example.com,2022-08-18,West,Retail Store,Consumer,Electronics,Smart Watch,2,225.79,5%,429.00,374.03,No
ORD-100101,CUST-10006,frankie.adeyemi5@example.com,2022-07-26,East,Retail Store,Consumer,Home & Kitchen,Chef Knife Set,3,87.59,5%,249.63,161.38,No
ORD-103945,CUST-11140,wren.rossi1139@example.com,2024-08-29,North,Retail Store,Small Business,Electronics,Wireless Earbuds,4,128.46,15%,$436.76,409.81,No
ORD-101748,CUST-10588,indigo.jensen587@example.com,2023-07-11,West,Wholesale,Consumer,Electronics,4K Monitor,10,383.57,15%,3260.34,3057.67,No
ORD-101075,CUST-10176,quinn.iversen175@example.com,2023-02-16,East,Retail Store,Consumer,Furniture,Standing Desk,2,569.16,5%,1081.40,631.26,Yes
ORD-102628,CUST-10746,frankie.sandoval745@example.com,2023-12-17,North,Online,Consumer,Electronics,Wireless Earbuds,2,122.93,5%,233.57,200.41,No
ORD-104112,CUST-11352,marlow.haddad1351@example.com,"Sep 28, 2024",West,Online,Small Business,Electronics,Laptop Pro 14,3,1313.49,5%,3743.45,2846.01,Yes
ORD-101843,CUST-10552,marlow.haddad551@example.com,2023-08-03,west,Wholesale,Enterprise,Office Supplies,Desk Organizer,80,33.08,10%,2381.76,1287.96,No
ORD-100747,CUST-10026,frankie.bianchi25@example.com,2022-12-09,West,Retail Store,Consumer,Office Supplies,Gel Pen Set,11,13.08,0%,$143.88,61.0,No
ORD-100795,CUST-10213,noor.kowalski212@example.com,2022-12-16,East,Wholesale,Consumer,Office Supplies,Premium Notebook Pack,80,24.05,10%,"$1,731.60",813.75,No
ORD-102081,CUST-10439,tatum.bianchi438@example.com,2023-09-25,East,Wholesale,Consumer,Electronics,Laptop Pro 14,6,1231.93,5%,7022.00,5679.26,No
ORD-103293,CUST-11057,rowan.moreau1056@example.com,2024-05-03,North,Online,Enterprise,Furniture,Bookshelf,3,156.24,5%,445.28,256.31,No
ORD-103892,CUST-11243,casey.castillo1242@example.com,2024-08-19,West,Online,Consumer,Home & Kitchen,Chef Knife Set,4,92.08,15%,313.07,206.49,No
ORD-104708,CUST-11258,sasha.castillo1257@example.com,2024-12-22,East,Retail Store,Consumer,Furniture,Standing Desk,2,582.72,0%,1165.44,617.4,No
ORD-102060,CUST-10670,kai.nakamura669@example.com,2023-09-19,East,Online,Small Business,Furniture,Bookshelf,2,161.2,10%,290.16,180.54,No
ORD-103221,CUST-11073,noor.nakamura1072@example.com,2024-04-18,South,Online,Enterprise,Office Supplies,Gel Pen Set,11,10.76,0%,$118.36,57.87,No
ORD-102521,CUST-10656,quinn.moreau655@example.com,2023-12-03,South,Online,Consumer,Office Supplies,Premium Notebook Pack,4,24.12,10%,86.83,43.62,No
ORD-102577,CUST-10791,linden.vasquez790@example.com,2023-12-11,West,Wholesale,Enterprise,Office Supplies,Premium Notebook Pack,114,25.47,10%,2613.22,1255.9,No
ORD-102857,CUST-10929,jules.gallagher928@example.com,2024-02-02,West,Retail Store,Consumer,Office Supplies,Premium Notebook Pack,5,24.38,5%,$115.80,54.27,No
ORD-100811,CUST-10220,wren.kowalski219@example.com,"Dec 17, 2022",West,Retail Store,Consumer,Furniture,Ergo Office Chair,2,269.43,0%,$538.86,331.91,No
ORD-103379,CUST-11125,ellis.rossi1124@example.com,2024-05-21,South,Online,Small Business,Home & Kitchen,Chef Knife Set,4,83.27,10%,$299.77,213.99,No
ORD-100231,CUST-10080,wren.dubois79@example.com,2022-08-26,West,Wholesale,Enterprise,Electronics,Smart Watch,8,256.31,5%,1947.96,1505.87,No
ORD-100692,CUST-10094,oakley.eriksen93@example.com,"Nov 30, 2022",West,Retail Store,Consumer,Electronics,Laptop Pro 14,3,1331.14,0%,3993.42,2923.13,No
ORD-100034,CUST-10002,blair.adeyemi1@example.com,2022-07-08,North,Retail Store,Small Business,Office Supplies,Desk Organizer,17,34.62,15%,500.26,268.57,No
ORD-104398,CUST-11433,noor.lindqvist1432@example.com,2024-11-14,North,Retail Store,Enterprise,Office Supplies,Desk Organizer,6,34.53,5%,196.82,91.44,No
ORD-101663,CUST-10425,ellis.bianchi424@example.com,2023-06-24, South ,Wholesale,Enterprise,Office Supplies,Desk Organizer,52,33.96,5%,1677.62,837.48,No
ORD-101457,CUST-10463,casey.dubois462@example.com,2023-05-15,West,Online,Consumer,Electronics,4K Monitor,2,366.91,20%,$587.06,545.67,No
ORD-102630,CUST-10784,devon.vasquez783@example.com,2023-12-17,South,Online,Small Business,Home & Kitchen,Espresso Machine,3,462.39,5%,1317.81,793.59,No
ORD-101631,CUST-10367,harper.takahashi366@example.com,2023-06-17,East,Retail Store,Consumer,Electronics,Smart Watch,1,254.16,0%,254.16,191.5,No
ORD-101420,CUST-10374,oakley.takahashi373@example.com,"May 05, 2023",West,Retail Store,Small Business,Home & Kitchen,Chef Knife Set,4,94.79,10%,341.24,211.76,No
ORD-102582,CUST-10696,quinn.okafor695@example.com,2023-12-11,South,Retail Store,Small Business,Office Supplies,Premium Notebook Pack,6,23.05,5%,131.38,62.71,No
ORD-103535,CUST-10935,peyton.gallagher934@example.com,2024-06-21,South,Wholesale,Consumer,Furniture,Ergo Office Chair,4,262.05,5%,995.79,630.24,No
ORD-103151,CUST-10981,avery.jensen980@example.com,2024-04-06,East,Retail Store,Small Business,Office Supplies,Premium Notebook Pack,10,23.9,5%,227.05,113.12,No
ORD-104119,CUST-11286,frankie.eriksen1285@example.com,2024-09-28,east,Online,Consumer,Electronics,Laptop Pro 14,2,1275.48,5%,2423.41,2071.15,No
ORD-100479,CUST-10158,sasha.haddad157@example.com,2022-10-26,North,Retail Store,Small Business,Furniture,Bookshelf,1,152.86,0%,152.86,85.32,No
ORD-103893,CUST-11138,sasha.rossi1137@example.com,2024-08-19,North,Wholesale,Enterprise,Home & Kitchen,Air Fryer,8,144.62,5%,1099.11,669.66,No
ORD-101428,CUST-10454,oakley.castillo453@example.com,2023-05-07,West,Wholesale,Consumer,Office Supplies,Desk Organizer,88,35.26,0%,"$3,102.88",1339.15,No
ORD-103026,CUST-11020,wren.kowalski1019@example.com,2024-03-09,South,Online,Enterprise,Home & Kitchen,Chef Knife Set,4,88.87,10%,319.93,213.22,No
ORD-102723,CUST-10797,rowan.vasquez796@example.com,2023-12-30,South,Online,Consumer,Furniture,Ergo Office Chair,2,289.42,15%,$492.01,323.48,No
ORD-101150,CUST-10394,oakley.vasquez393@example.com,2023-03-10, West ,Retail Store,Consumer,Home & Kitchen,Espresso Machine,1,444.15,15%,377.53,270.05,No
ORD-100625,CUST-10069,jules.dubois68@example.com,2022-11-20,west,Online,Small Business,Electronics,Wireless Earbuds,4,119.37,0%,477.48,397.88,No
ORD-101875,CUST-10469,jules.dubois468@example.com,2023-08-11,East,Online,Consumer,Furniture,Bookshelf,1,167.31,0%,167.31,89.75,No
ORD-102418,CUST-10638,sasha.lindqvist637@example.com,2023-11-20,South,Wholesale,Consumer,Office Supplies,Desk Organizer,108,35.65,10%,"$3,465.18",1623.44,No
ORD-101392,CUST-10271,linden.nakamura270@example.com,"Apr 30, 2023",East,Retail Store,Consumer,Furniture,Bookshelf,3,158.98,0%,476.94,262.97,No
ORD-100297,CUST-10083,casey.eriksen82@example.com,2022-09-11,East,Retail Store,Consumer,Electronics,Laptop Pro 14,4,1285.51,5%,4884.94,3816.17,No
ORD-104582,CUST-11483,casey.okafor1482@example.com,2024-12-05,East,Retail Store,Small Business,Electronics,4K Monitor,1,399.7,0%,$399.70,293.58,No
ORD-102588,CUST-10661,avery.nakamura660@example.com,2023-12-12,North,Online,Consumer,Office Supplies,Premium Notebook Pack,14,23.61,0%,330.54,153.52,No
ORD-101552,CUST-10486,frankie.eriksen485@example.com,2023-06-05,South,Online,Consumer,Office Supplies,Premium Notebook Pack,5,23.48,20%,93.92,54.74,No
ORD-101211,CUST-10217,rowan.kowalski216@example.com,2023-03-22,West,Retail Store,Consumer,Home & Kitchen,Air Fryer,2,143.24,15%,243.51,170.94,No
ORD-100316,CUST-10058,sasha.castillo57@example.com,2022-09-17,South,Retail Store,Small Business,Furniture,Bookshelf,1,157.16,10%,$141.44,89.31,No
ORD-100706,CUST-10182,blair.jensen181@example.com,2022-12-02,West,Online,Enterprise,Office Supplies,Desk Organizer,9,36.05,15%,275.78,131.96,No
ORD-103099,CUST-10735,peyton.rossi734@example.com,2024-03-26,West,Wholesale,Consumer,Electronics,Wireless Earbuds,5,135.46,10%,$609.57,530.28,No
ORD-100229,CUST-10015,peyton.adeyemi14@example.com,2022-08-26,South,Online,Enterprise,Furniture,Standing Desk,2,586.88,15%,$997.70,604.21,Yes
ORD-101026,CUST-10052,marlow.castillo51@example.com,2023-02-03,East,Retail Store,Consumer,Home & Kitchen,Chef Knife Set,4,87.77,0%,351.08,210.78,No
ORD-100080,CUST-10025,ellis.bianchi24@example.com,2022-07-22,East,Online,Consumer,Office Supplies,Premium Notebook Pack,8,24.8,0%,$198.40,88.52,No
ORD-104419,CUST-11473,noor.nakamura1472@example.com,2024-11-17,West,Online,Consumer,Home & Kitchen,Chef Knife Set,2,92.68,10%,166.82,108.31,Yes
ORD-101339,CUST-10420,wren.adeyemi419@example.com,2023-04-20,West,Retail Store,Small Business,Office Supplies,Desk Organizer,17,35.29,5%,569.93,268.17,No
ORD-100291,CUST-10008,indigo.adeyemi7@example.com,2022-09-09,EAST,Retail Store,Consumer,Electronics,4K Monitor,3,371.43,5%,1058.58,884.57,No
ORD-101379,CUST-10421,avery.bianchi420@example.com,2023-04-27,North,Online,Consumer,Office Supplies,Premium Notebook Pack,17,22.72,5%,366.93,182.01,No
ORD-100932,CUST-10324,devon.rossi323@example.com,"Jan 09, 2023",East,Retail Store,Consumer,Office Supplies,Desk Organizer,2,35.15,0%,70.30,30.58,Yes
ORD-100600,CUST-10158,sasha.haddad157@example.com,"Nov 16, 2022",South,Retail Store,Consumer,Electronics,Laptop Pro 14,4,1321.97,5%,"$5,023.49",4071.46,No
ORD-103428,CUST-10792,marlow.vasquez791@example.com,"May 31, 2024",South,Online,Consumer,Furniture,Ergo Office Chair,3,293.33,15%,747.99,478.91,Yes
ORD-100298,CUST-10043,casey.castillo42@example.com,2022-09-12,East,Retail Store,Consumer,Furniture,Standing Desk,3,534.07,0%,1602.21,943.97,No
ORD-100394,CUST-10094,oakley.eriksen93@example.com,2022-10-08,South,Online,Enterprise,Home & Kitchen,Chef Knife Set,2,96.34,5%,$183.05,107.26,Yes
ORD-100473,CUST-10046,frankie.castillo45@example.com,2022-10-24,North,Wholesale,Consumer,Home & Kitchen,Chef Knife Set,6,95.55,10%,515.97,318.64,No
ORD-100502,CUST-10177,rowan.iversen176@example.com,2022-10-31,West,Online,Consumer,Home & Kitchen,Chef Knife Set,3,87.04,15%,221.95,157.79,No
ORD-103906,CUST-11282,blair.eriksen1281@example.com,2024-08-22,East,Online,Consumer,Electronics,Laptop Pro 14,4,1321.8,0%,"$5,287.20",4038.78,No
ORD-100578,CUST-10150,kai.haddad149@example.com,2022-11-12,West,Online,Small Business,Home & Kitchen,Espresso Machine,3,419.56,0%,1258.68,857.45,No
ORD-100486,CUST-10153,noor.haddad152@example.com,"Oct 27, 2022",north,Retail Store,Consumer,Furniture,Bookshelf,3,166.24,0%,498.72,266.59,No
ORD-103910,CUST-11320,wren.fontaine1319@example.com,2024-08-23,East,Online,Small Business,Office Supplies,Desk Organizer,14,36.1,10%,454.86,216.49,No
ORD-102209,CUST-10678,sasha.nakamura677@example.com,2023-10-18,North,Online,Enterprise,Home & Kitchen,Chef Knife Set,1,90.58,5%,86.05,55.21,No
ORD-101920,CUST-10541,avery.haddad540@example.com,2023-08-20,West,Online,Small Business,Home & Kitchen,Espresso Machine,2,425.27,10%,765.49,535.69,No
ORD-102999,CUST-10967,harper.iversen966@example.com,2024-03-05,South,Online,Small Business,Office Supplies,Gel Pen Set,7,12.48,10%,78.62,37.64,No
ORD-103415,CUST-11079,tatum.nakamura1078@example.com,2024-05-29,East,Online,Small Business,Electronics,Laptop Pro 14,2,1411.01,0%,"$2,822.02",2076.51,No
ORD-100492,CUST-10041,avery.castillo40@example.com,"Oct 28, 2022",West,Wholesale,Enterprise,Home & Kitchen,Air Fryer,15,139.28,15%,1775.82,1241.66,No
ORD-104554,CUST-11103,casey.pereira1102@example.com,2024-12-02,West,Online,Small Business,Electronics,Smart Watch,1,257.76,15%,$219.10,195.99,No
ORD-102648,CUST-10827,harper.bianchi826@example.com,2023-12-21,East,Online,Enterprise,Home & Kitchen,Espresso Machine,1,470.04,0%,470.04,265.48,No
ORD-100927,CUST-10331,linden.rossi330@example.com,2023-01-09,West,Wholesale,Consumer,Electronics,Laptop Pro 14,16,1308.97,5%,19896.34,16286.78,No
ORD-103725,CUST-11167,harper.takahashi1166@example.com,2024-07-20,South,Online,Enterprise,Office Supplies,Gel Pen Set,4,12.66,0%,50.64,21.53,No
ORD-100066,CUST-10003,casey.adeyemi2@example.com,2022-07-18,West,Retail Store,Small Business,Home & Kitchen,Chef Knife Set,3,89.49,15%,$228.20,157.66,No
ORD-100228,CUST-10080,wren.dubois79@example.com,2022-08-26,East,Retail Store,Small Business,Office Supplies,Desk Organizer,6,37.13,0%,222.78,90.62,No
ORD-100634,CUST-10066,frankie.dubois65@example.com,2022-11-21,East,Retail Store,Consumer,Home & Kitchen,Chef Knife Set,4,85.07,0%,340.28,211.53,No
ORD-104706,CUST-11473,noor.nakamura1472@example.com,2024-12-22, East ,Wholesale,Consumer,Electronics,Wireless Earbuds,28,122.05,10%,3075.66,2762.06,No
ORD-102464,CUST-10773,noor.takahashi772@example.com,2023-11-26,West,Online,Consumer,Office Supplies,Premium Notebook Pack,18,23.69,10%,383.78,197.31,No
ORD-102532,CUST-10673,noor.nakamura672@example.com,2023-12-05,West,Retail Store,Consumer,Electronics,Laptop Pro 14,1,1328.91,15%,"$1,129.57",980.7,No
ORD-103185,CUST-11054,oakley.moreau1053@example.com,2024-04-10,West,Wholesale,Enterprise,Electronics,Laptop Pro 14,16,1269.22,5%,"$19,292.14",16364.55,No
ORD-104425,CUST-11425,ellis.lindqvist1424@example.com,2024-11-17,West,Online,N/A,Furniture,Bookshelf,3,154.82,0%,$464.46,262.25,No
ORD-104050,CUST-11188,indigo.vasquez1187@example.com,2024-09-18,North,Online,Consumer,Home & Kitchen,Air Fryer,3,139.95,10%,377.86,247.65,No
ORD-100556,CUST-10132,marlow.gallagher131@example.com,2022-11-08,East,Retail Store,Small Business,Office Supplies,Gel Pen Set,6,11.46,0%,68.76,32.79,No
ORD-102104,CUST-10563,casey.iversen562@example.com,"Sep 29, 2023",South,Wholesale,Consumer,Electronics,Smart Watch,6,244.93,20%,"$1,175.66",1191.51,No
ORD-101193,CUST-10385,ellis.vasquez384@example.com,2023-03-19,East,Retail Store,Consumer,Electronics,Laptop Pro 14,3,1308.25,15%,"$3,336.04",3129.57,No
ORD-102684,CUST-10871,linden.dubois870@example.com,2023-12-27,South,Online,Consumer,Furniture,Standing Desk,2,564.56,15%,959.75,607.53,No
ORD-104639,CUST-11341,avery.haddad1340@example.com,2024-12-13,West,Wholesale,Small Business,Office Supplies,Gel Pen Set,21,12.12,5%,$241.79,125.34,No
ORD-101345,CUST-10290,kai.okafor289@example.com,2023-04-21,East,Retail Store,Consumer,Office Supplies,Desk Organizer,5,35.35,10%,159.08,78.68,No
ORD-104004,CUST-11205,ellis.adeyemi1204@example.com,2024-09-10,South,Wholesale,Consumer,Furniture,Bookshelf,10,165.39,10%,1488.51,842.8,No
ORD-101205,CUST-10008,indigo.adeyemi7@example.com,"Mar 21, 2023",East,Retail Store,Consumer,Furniture,Bookshelf,1,159.15,5%,$151.19,89.37,No
ORD-103804,CUST-11134,oakley.rossi1133@example.com,2024-08-04,SOUTH,Wholesale,Enterprise,Electronics,Laptop Pro 14,32,1324.42,15%,36024.22,32237.72,No
ORD-101033,CUST-10131,linden.gallagher130@example.com,2023-02-04,East,Wholesale,Consumer,Home & Kitchen,Chef Knife Set,8,86.07,5%,$654.13,433.92,No
ORD-100643,CUST-10175,peyton.iversen174@example.com,2022-11-23,North,Retail Store,Consumer,Home & Kitchen,Espresso Machine,1,468.74,10%,421.87,277.23,No
ORD-103657,CUST-11098,sasha.okafor1097@example.com,2024-07-09,South,Online,Small Business,Electronics,Wireless Earbuds,2,128.72,10%,$231.70,207.07,No
ORD-103478,CUST-10694,oakley.okafor693@example.com,2024-06-10,West,Retail Store,Consumer,Home & Kitchen,Espresso Machine,2,439.33,10%,$790.79,528.39,No
ORD-101936,CUST-10367,harper.takahashi366@example.com,"Aug 23, 2023",West,Online,Consumer,Furniture,Ergo Office Chair,1,288.19,5%,$273.78,152.18,No
ORD-103308,CUST-10801,avery.adeyemi800@example.com,2024-05-06,East,Retail Store,Small Business,Electronics,Laptop Pro 14,3,1212.07,0%,3636.21,3011.41,No
ORD-100180,CUST-10028,indigo.bianchi27@example.com,2022-08-14,north,Online,Small Business,Electronics,Laptop Pro 14,2,1363.49,10%,"$2,454.28",2093.02,No
ORD-102938,CUST-10898,sasha.eriksen897@example.com,2024-02-20,North,Retail Store,Consumer,Electronics,4K Monitor,2,401.72,0%,803.44,584.85,No
ORD-102087,CUST-10609,jules.kowalski608@example.com,2023-09-25,North,Online,Consumer,Office Supplies,Gel Pen Set,11,11.93,0%,131.23,57.91,No
ORD-104354,CUST-11348,indigo.haddad1347@example.com,2024-11-08,West,Retail Store,Consumer,Office Supplies,Gel Pen Set,15,12.77,20%,153.24,82.44,Yes
ORD-102116,CUST-10631,linden.lindqvist630@example.com,2023-10-02,NORTH,Retail Store,Consumer,Home & Kitchen,Espresso Machine,1,448.39,10%,403.55,271.32,No
ORD-102132,CUST-10531,linden.gallagher530@example.com,2023-10-04, North ,Online,Consumer,Office Supplies,Premium Notebook Pack,14,23.02,0%,322.28,149.35,No
ORD-101182,CUST-10107,harper.fontaine106@example.com,2023-03-17,West,Retail Store,Consumer,Electronics,Wireless Earbuds,1,132.64,0%,$132.64,97.64,No
ORD-104535,CUST-11462,blair.nakamura1461@example.com,2024-11-29,West,Online,Consumer,Home & Kitchen,Espresso Machine,1,434.43,5%,412.71,286.75,Yes
ORD-104526,CUST-11349,jules.haddad1348@example.com,2024-11-28,East,Wholesale,Consumer,Furniture,Bookshelf,24,158.64,5%,"$3,616.99",2116.09,No
ORD-101445,CUST-10465,ellis.dubois464@example.com,2023-05-11,West,Retail Store,Consumer,Office Supplies,Gel Pen Set,9,12.01,0%,108.09,50.16,No
ORD-104773,CUST-11624,devon.bianchi1623@example.com,2024-12-29,West,Online,Consumer,Electronics,4K Monitor,2,414.26,0%,828.52,596.25,No
